,Name,Sex,Age,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
234573,Rafa Marek Szukaa,M,21.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 200 metres Butterfly,
234574,Rafa Marek Szukaa,M,25.0,Poland,POL,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 100 metres Butterfly,
234575,Rafa Marek Szukaa,M,25.0,Poland,POL,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
234576,Rafa Szukiel,M,31.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Mixed One Person Dinghy,
234577,Dawid Szulich,M,22.0,Poland,POL,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 100 metres Breaststroke,
234578,Dawid Szulich,M,22.0,Poland,POL,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
234579,Ryszard Jan Szurkowski,M,26.0,Poland,POL,1972 Summer,1972,Summer,Munich,Cycling,"Cycling Men's Road Race, Individual",
234580,Ryszard Jan Szurkowski,M,26.0,Poland,POL,1972 Summer,1972,Summer,Munich,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
234581,Ryszard Jan Szurkowski,M,30.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Cycling,"Cycling Men's Road Race, Individual",
234582,Ryszard Jan Szurkowski,M,30.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
234586,Wadysaw Szuszkiewicz,M,25.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",
234587,Wadysaw Szuszkiewicz,M,29.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",
234588,Wadysaw Szuszkiewicz,M,33.0,Poland,POL,1972 Summer,1972,Summer,Munich,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Bronze
234590,Eulalia ucja Szwajkowska (-Caban),F,20.0,Poland,POL,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Women's 200 metres,
234591,Eulalia ucja Szwajkowska (-Caban),F,20.0,Poland,POL,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Women's 4 x 100 metres Relay,
234592,Agnieszka Szwarng,F,25.0,Poland,POL,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 20 kilometres Walk,
234593,Agnieszka Szwarng,F,29.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 20 kilometres Walk,
234595,Micha Szyba,M,28.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball,
234597,Irena Szydowska,F,44.0,Poland,POL,1972 Summer,1972,Summer,Munich,Archery,Archery Women's Individual,Silver
234598,Irena Szydowska,F,48.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Archery,Archery Women's Individual,
234599,Stanisawa Teresa Szydowska (-Kaczorowska),F,24.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",
